group_type,sst_bin,region,omega_bin,n_samples,n_raw_profiles_total,mean_profiles_per_sample,dlnq_mean_of_samples,dlnq_median_of_samples,dlnq_std,dlnq_p10,dlnq_p25,dlnq_p75,dlnq_p90,dlnq_iqr,q_uut_mean_group,q_uut_median_group,q_uut_p25,q_uut_p75,q_lut_mean_group,q_lut_median_group,q_lut_p25,q_lut_p75,mean_sst_group_mean,mean_sst_group_median,mean_omega_group_mean,mean_omega_group_median,mean_olr_group_mean,mean_olr_group_median,dominant_olr_fraction_group_mean,dominant_olr_fraction_group_median,dominant_olr_bin_group,dominant_olr_bin_group_fraction,sst_sort_lo,sst_sort_hi,omega_sort,reference_sst_bin,delta_dlnq_mean_vs_ref,delta_dlnq_median_vs_ref,delta_q_uut_mean_vs_ref,delta_q_lut_mean_vs_ref,delta_mean_olr_vs_ref
sst_omega,sst_295_295.5,,strong_ascent,112,3688.0,32.92857142857143,-1.5361108572355338,-1.4986549615859985,0.5091302218813906,-2.2560475587844846,-1.8620245158672333,-1.2693187892436981,-1.0937322497367858,0.5927057266235352,3.2293789404645524e-05,3.175552956236061e-05,2.636728822835721e-05,3.566880332073197e-05,0.00020852989346816945,0.00018467179324943572,0.00014439838560065255,0.0002642854524310678,295.27484915173255,295.2680192493257,-0.10935668335598896,-0.08817253333906974,272.97415872807534,276.5386790805393,,,clear_sky,0.9732142857142857,295.0,295.5,0,sst_299.5_300,0.20340612955958415,0.25800639390945435,-7.772703615886014e-06,-0.00011126881561701612,8.568165477418631
sst_omega,sst_295_295.5,,weak_ascent,117,4615.0,39.44444444444444,-1.5571200867844188,-1.4830825328826904,0.5187603356596457,-2.1899758338928224,-1.8357787132263184,-1.248998761177063,-1.0920251607894897,0.5867799520492554,3.156516542233468e-05,3.147523966617882e-05,2.8023679988109507e-05,3.550872133928351e-05,0.0001994437548130677,0.00017961360572371632,0.0001400396868120879,0.00024859418044798076,295.2877943615004,295.27528765918765,-0.02850324135555755,-0.0284267570823431,276.7419520332104,278.6926039543705,,,clear_sky,0.9914529914529915,295.0,295.5,1,sst_299.5_300,0.06632661775598292,0.11660706996917725,-7.1290175147958125e-06,-7.862423473377396e-05,2.9955906727301453
sst_omega,sst_295_295.5,,neutral,107,3175.0,29.672897196261683,-1.4720611544412987,-1.4431482553482056,0.5720215873233896,-2.1458719253540037,-1.7894970774650574,-1.1966300010681152,-0.859404182434082,0.5928670763969421,3.303009645741925e-05,3.2052277674665675e-05,2.7766192943090573e-05,3.566603299987037e-05,0.00020768770129813173,0.00017502534319646657,0.00013107597624184564,0.00024373688211198896,295.28098277000714,295.2756683349609,0.00026051672835761356,0.00030458752903191803,277.26956757492064,279.11384998668325,,,clear_sky,0.9626168224299065,295.0,295.5,2,sst_299.5_300,0.11861564519120216,0.12778395414352417,-5.751105804476196e-06,-6.805385025900534e-05,2.7511214892592193
sst_omega,sst_295_295.5,,weak_subsidence,113,6651.0,58.85840707964602,-1.5015791141617614,-1.4310593605041504,0.5396361851841192,-2.1126994132995605,-1.8328808546066284,-1.198290228843689,-1.0300574779510498,0.6345906257629395,3.191817900710904e-05,3.146484959870577e-05,2.7944615794694982e-05,3.3579101000213996e-05,0.00019904016703830833,0.00017426465637981892,0.00013709210907109082,0.00023844435054343194,295.2794864630585,295.2666809082031,0.028238059466877723,0.028943061957963638,276.4856860349162,279.6018920898438,,,clear_sky,0.9734513274336283,295.0,295.5,3,sst_299.5_300,0.04237500117241333,0.08994054794311523,-6.619991896359826e-06,-6.123813996427715e-05,1.3456823201349266
sst_omega,sst_295_295.5,,strong_subsidence,118,8068.0,68.37288135593221,-1.4959774658841603,-1.440470576286316,0.45438723138447934,-2.042131543159485,-1.7324826419353485,-1.17245152592659,-1.030919146537781,0.5600311160087585,3.103580860686449e-05,3.103748713328969e-05,2.701644143598969e-05,3.40703427355038e-05,0.00019109012524587974,0.00016595121269347146,0.00012888629498775117,0.00023479046649299562,295.2834880088742,295.27170136395625,0.09545314939719644,0.09183104116149993,275.93236267724245,278.62525975219603,,,clear_sky,0.9915254237288136,295.0,295.5,4,sst_299.5_300,0.08890345527767685,0.10117131471633911,-8.327607006547589e-06,-9.615910547743902e-05,4.447991605284642
sst_omega,sst_295.5_296,,strong_ascent,136,4989.0,36.68382352941177,-1.5951088415458798,-1.5524166226387024,0.5454481182432374,-2.3045703172683716,-1.9247295260429382,-1.3351549208164215,-1.0488545894622803,0.5895746052265167,3.218582490744131e-05,3.180295789206866e-05,2.7235635570832528e-05,3.540055786288576e-05,0.0002214102135386544,0.00019231527403462678,0.00015061252997838892,0.0002572882076492533,295.7805906145224,295.7706287055355,-0.10031754176076116,-0.09120263906340276,273.8953829795023,277.55480417466504,,,clear_sky,0.9705882352941176,295.5,296.0,0,sst_299.5_300,0.14440814524923806,0.2042447328567505,-7.880668113090228e-06,-9.838849554653117e-05,9.489389728845595
sst_omega,sst_295.5_296,,weak_ascent,139,6075.0,43.70503597122302,-1.5242966523916601,-1.4815647602081299,0.5311469155637165,-2.0669694423675535,-1.855004906654358,-1.232179045677185,-1.0146113157272338,0.6228258609771729,3.294534248551362e-05,3.2216772524407133e-05,2.7748818865802605e-05,3.585301055863965e-05,0.000222234803488731,0.00018047915364149958,0.00013917111937189475,0.0002595546829979867,295.77708019994014,295.76429631159857,-0.02791275290787584,-0.02784072111050288,276.85844980504476,279.36859408291906,,,clear_sky,0.9712230215827338,295.5,296.0,1,sst_299.5_300,0.09915005214874162,0.11812484264373779,-5.748840451616871e-06,-5.5833186058110656e-05,3.112088444564506
sst_omega,sst_295.5_296,,neutral,127,4172.0,32.8503937007874,-1.5252881261307423,-1.4869004487991333,0.45761869381168807,-2.058994102478027,-1.8272035717964172,-1.242952287197113,-1.028812575340271,0.5842512845993042,3.157329810501395e-05,3.1402745662489906e-05,2.7733204660762567e-05,3.483986802166328e-05,0.00019292109467155174,0.00018105491471942514,0.00013725848839385435,0.00023560828412882984,295.78444107487394,295.771482195173,0.00025765998368410486,0.00032279637399251044,277.0489909069235,279.4407653808594,,,clear_sky,0.984251968503937,295.5,296.0,2,sst_299.5_300,0.06538867350175859,0.08403176069259644,-7.207904156881493e-06,-8.282045688558532e-05,2.530544821262083
sst_omega,sst_295.5_296,,weak_subsidence,138,8460.0,61.30434782608695,-1.470195041105583,-1.4207480549812317,0.46341273681817446,-2.0202733635902406,-1.7404422163963318,-1.2103453576564789,-0.9714735746383667,0.5300968587398529,3.2613294235383414e-05,3.213904346921481e-05,2.851551698768162e-05,3.48054572896217e-05,0.00020210568476139324,0.0001772851828718558,0.00013397223301581107,0.0002327217735000886,295.77927958785375,295.76802391464867,0.029713689844453377,0.029632379802466476,277.1801545877421,278.79124633003687,,,clear_sky,0.9782608695652174,295.5,296.0,3,sst_299.5_300,0.07375907422859163,0.10025185346603394,-5.924876668085449e-06,-5.8172622241192245e-05,2.040150872960794
sst_omega,sst_295.5_296,,strong_subsidence,147,10484.0,71.31972789115646,-1.4895115884109622,-1.4618409872055054,0.4880166099994631,-2.129647731781006,-1.769001066684723,-1.2006509900093079,-0.9989290475845336,0.568350076675415,3.1930033166187605e-05,3.156724415021017e-05,2.595604473754065e-05,3.499062222545035e-05,0.0001930346669457761,0.00017751332779880613,0.00013324453175300732,0.00023777787282597274,295.78778436510555,295.7716326032366,0.0978154469328474,0.09324961602687835,275.4762535979069,279.1330013872891,,,clear_sky,0.9523809523809523,295.5,296.0,4,sst_299.5_300,0.09536933275087489,0.07980090379714966,-7.433382447224472e-06,-9.421456377754265e-05,3.9918825259491086
