methods,group_type,region,sst_bin,omega_bin,n_samples,dlnq_mean_point,sst_sort_lo,sst_sort_hi,omega_sort,ci_width_iid,n_blocks_spatial10,ci_width_spatial10,n_blocks_spatial20,ci_width_spatial20,record_type,width_ratio_spatial10_over_iid,width_ratio_spatial20_over_iid,warm_sst_bin,ref_sst_bin,n_warm,n_ref,ddlnq_mean_point,robust_iid,robust_spatial10,robust_spatial20,robust_flip,ctx_label
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,neutral,427.0,-1.5612839182590155,297.0,300.0,2.0,0.07420941848107199,125.0,0.10058798096608479,36.0,0.1365329581287149,group,1.355461112954833,1.8398332842823624,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,strong_ascent,440.0,-1.7026378687809813,297.0,300.0,0.0,0.06895859962159934,130.0,0.10580139533314159,36.0,0.1443647564545829,group,1.534274128443906,2.0934989580235723,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,strong_subsidence,445.0,-1.559991907035367,297.0,300.0,4.0,0.07217480743868965,129.0,0.11951278990184178,36.0,0.1601778819229993,group,1.655879581020903,2.2193045968160794,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,weak_ascent,431.0,-1.596297902554239,297.0,300.0,1.0,0.06771249924019274,127.0,0.09761915789041886,36.0,0.14854368679464547,group,1.4416711683339278,2.1937410147530487,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_297_300,weak_subsidence,431.0,-1.5191903899136385,297.0,300.0,3.0,0.06155717834104224,127.0,0.0946566550565342,36.0,0.13981277573211015,group,1.5377029553257386,2.271266804295548,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,neutral,474.0,-1.7807364150693146,300.0,303.0,2.0,0.04720256410633472,131.0,0.08164928113935987,36.0,0.1134452276348683,group,1.7297636830792906,2.403370024122135,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,strong_ascent,475.0,-1.9544371928666768,300.0,303.0,0.0,0.039571132816766275,131.0,0.0696576251364911,36.0,0.11291725257353002,group,1.7603141527193578,2.853525904764774,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,strong_subsidence,477.0,-1.7888932654192862,300.0,303.0,4.0,0.04654073040752804,132.0,0.0809547202342531,36.0,0.11822416918594425,group,1.7394381120662115,2.540230205901996,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,weak_ascent,475.0,-1.8142601033260948,300.0,303.0,1.0,0.04578846778995094,131.0,0.07759310986281442,36.0,0.10320424135039619,group,1.6945993960480057,2.253935244652282,,,,,,,,,,
iid+spatial10+spatial20,sst_omega,nan,sst_300_303,weak_subsidence,476.0,-1.7608287675040108,300.0,303.0,3.0,0.046785003666867775,132.0,0.08339264404077618,36.0,0.11474218140134029,group,1.7824652667460026,2.4525418918070634,,,,,,,,,,
