group_type,sst_bin,region,omega_bin,n_samples,n_raw_profiles_total,mean_profiles_per_sample,dlnq_mean_of_samples,dlnq_median_of_samples,dlnq_std,dlnq_p10,dlnq_p25,dlnq_p75,dlnq_p90,dlnq_iqr,q_uut_mean_group,q_uut_median_group,q_uut_p25,q_uut_p75,q_lut_mean_group,q_lut_median_group,q_lut_p25,q_lut_p75,mean_sst_group_mean,mean_sst_group_median,mean_omega_group_mean,mean_omega_group_median,mean_olr_group_mean,mean_olr_group_median,dominant_olr_fraction_group_mean,dominant_olr_fraction_group_median,dominant_olr_bin_group,dominant_olr_bin_group_fraction,sst_sort_lo,sst_sort_hi,omega_sort,reference_sst_bin,delta_dlnq_mean_vs_ref,delta_dlnq_median_vs_ref,delta_q_uut_mean_vs_ref,delta_q_lut_mean_vs_ref,delta_mean_olr_vs_ref
sst_omega,sst_303_303.5,,strong_ascent,344,54617.0,158.7703488372093,-2.0824902242071235,-2.120505690574646,0.24947917388221516,-2.2825561285018923,-2.203246593475342,-1.9854095578193665,-1.7942073822021485,0.21783703565597534,6.0683014754791066e-05,6.063063119654544e-05,5.7237241890106816e-05,6.479566036432516e-05,0.0006301350908341742,0.0006465659535024315,0.0005320282798493281,0.0007103028183337301,303.193627244906,303.2050464255201,-0.23728783055255676,-0.2385012597503655,232.43825481219528,228.52832993217137,,,deep_convective,0.5465116279069767,303.0,303.5,0,sst_303_303.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_303_303.5,,weak_ascent,336,23356.0,69.51190476190476,-1.9788880660420372,-2.02149760723114,0.35556538462250753,-2.3153462409973145,-2.1601927280426025,-1.8194043338298798,-1.4951668977737427,0.3407883942127228,5.4435307577348014e-05,5.418730688688811e-05,4.988535147276707e-05,5.9581489040283486e-05,0.0005228594242171745,0.0005254014977253973,0.0004021759959869087,0.0006180188211146742,303.1927914671296,303.2063723833133,-0.029219721503447083,-0.02894522991123495,251.67552368078438,251.02404171466213,,,clear_sky,0.8511904761904762,303.0,303.5,1,sst_303_303.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_303_303.5,,neutral,323,14025.0,43.421052631578945,-1.9233554068364596,-1.991791009902954,0.42090149678648164,-2.288000392913818,-2.1289511919021606,-1.815305233001709,-1.5127126216888425,0.31364595890045166,5.4207628033929086e-05,5.407466960605234e-05,4.971364433004055e-05,5.843678445671685e-05,0.0004978747641443453,0.000491230865009129,0.0003886061458615586,0.0006045881018508226,303.20165973496603,303.2089359059053,0.00040809667768576584,0.00014605170187316564,252.6600719790182,252.7878384399414,,,clear_sky,0.8328173374613003,303.0,303.5,2,sst_303_303.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_303_303.5,,weak_subsidence,337,28779.0,85.39762611275964,-1.9280689459139322,-1.950669288635254,0.3256370914872277,-2.2316657066345216,-2.1119942665100098,-1.8040826320648193,-1.5316674470901486,0.30791163444519043,5.4282377372017044e-05,5.389127545640804e-05,4.987743523088284e-05,5.8677527704276145e-05,0.0004975127742771896,0.0005000049713999033,0.00039576893323101103,0.0005821571103297174,303.1947116116007,303.20417376262384,0.029394127440706144,0.029640415207379395,253.58272941065397,253.21470491813892,,,clear_sky,0.8931750741839762,303.0,303.5,3,sst_303_303.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_303_303.5,,strong_subsidence,352,57421.0,163.1278409090909,-1.9597355407789687,-1.98538738489151,0.3170388406884545,-2.2254940271377563,-2.115748405456543,-1.8301523923873901,-1.6174882531166077,0.28559601306915283,5.6534101505886525e-05,5.62519326194888e-05,5.250968206382822e-05,6.074296106817201e-05,0.0005289107759422636,0.0005360697687137872,0.0004329681978560984,0.0006132048583822325,303.19148533586036,303.20543426719405,0.11877455642577081,0.11600475559582743,247.2493209292106,246.4204824897978,,,clear_sky,0.8380681818181818,303.0,303.5,4,sst_303_303.5,0.0,0.0,0.0,0.0,0.0
sst_omega,sst_303.5_304,,strong_ascent,281,14388.0,51.20284697508897,-2.0394334342609097,-2.109025001525879,0.4096299338074138,-2.3416261672973633,-2.2437832355499268,-1.9143937826156616,-1.6577192544937134,0.32938945293426514,6.10931320253675e-05,6.197940092533827e-05,5.697305459761992e-05,6.712052709190175e-05,0.0006224512705567282,0.0006522005423903465,0.0005173797253519297,0.0007338763680309057,303.66656231483046,303.6689285118821,-0.21883901358686786,-0.22045595463105414,238.77651654068634,234.84070703125,,,clear_sky,0.5373665480427047,303.5,304.0,0,sst_303_303.5,0.04305678994621376,0.01148068904876709,4.1011727057643966e-07,-7.683820277445985e-06,6.338261728491062
sst_omega,sst_303.5_304,,weak_ascent,264,6883.0,26.071969696969695,-1.9897793874031666,-2.0269817113876343,0.35605127115524404,-2.3343603134155275,-2.1930838227272034,-1.850474238395691,-1.5763298988342285,0.34260958433151245,5.602018350972767e-05,5.6337965361308306e-05,5.017160856368719e-05,6.17970490566222e-05,0.0005383275388753232,0.0005310832348186523,0.00040640003135195,0.0006409598718164489,303.67167410029936,303.6718795776367,-0.02886738176093517,-0.028767270116675726,253.57366482969096,251.80814411329186,,,clear_sky,0.8636363636363636,303.5,304.0,1,sst_303_303.5,-0.010891321361129469,-0.005484104156494141,1.584875932379659e-06,1.546811465814868e-05,1.898141148906575
sst_omega,sst_303.5_304,,neutral,260,4189.0,16.111538461538462,-1.9583069503307342,-2.0002588629722595,0.4577335631806539,-2.382287931442261,-2.1983590126037598,-1.777376264333725,-1.4540722846984864,0.4209827482700348,5.597244773105978e-05,5.624484401778318e-05,4.949442154611461e-05,6.222392767085694e-05,0.0005271655449737759,0.0005104216688778251,0.00038444595702458173,0.000629471120191738,303.6663408542391,303.66828664143884,0.0003966714483780872,0.0002987303586194638,255.56905852086948,254.35173797607422,,,clear_sky,0.8153846153846154,303.5,304.0,2,sst_303_303.5,-0.03495154349427465,-0.00846785306930542,1.7648196971306932e-06,2.9290780829430586e-05,2.9089865418512773
sst_omega,sst_303.5_304,,weak_subsidence,275,8416.0,30.603636363636365,-1.9171435037526217,-1.9588053226470947,0.37158257049119436,-2.314882230758667,-2.137419581413269,-1.7196422219276428,-1.4519325494766235,0.4177773594856262,5.516910087118793e-05,5.551556751015596e-05,5.0514105168986134e-05,6.019661850586999e-05,0.0005030642394823107,0.0004919770872220397,0.00037322661955840886,0.0006054870900698006,303.6744821645439,303.6730779012044,0.030027475991461574,0.029839157998081175,255.96014868116885,255.39783881692324,,,clear_sky,0.8763636363636363,303.5,304.0,3,sst_303_303.5,0.010925442161310528,-0.00813603401184082,8.86723499170884e-07,5.551465205121077e-06,2.377419270514878
sst_omega,sst_303.5_304,,strong_subsidence,285,16441.0,57.68771929824561,-1.9195875979306405,-1.9972819089889526,0.40736954579279505,-2.242427396774292,-2.1427080631256104,-1.763594150543213,-1.523712682723999,0.37911391258239746,5.740649119839522e-05,5.7775028835749254e-05,5.263497951091267e-05,6.285557901719585e-05,0.0005369576116177006,0.0005486948066391051,0.000424914644099772,0.0006264223484322429,303.6693054969651,303.673583984375,0.11505937680232296,0.11375705796209248,251.70453369409998,250.6737417447365,,,clear_sky,0.8526315789473684,303.5,304.0,4,sst_303_303.5,0.04014794284832823,-0.011894524097442627,8.723896925086913e-07,8.046835675436996e-06,4.455212764889382
